Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature (F),Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
RITAS Mang-O-Rita,6.99,4.7,16.0,Malt Liquor,United States,Craft,6.0,35.0,"Flavored, Fruity, Sweet","Salads & Greens, Nuts","Pint Glass, Snifter/Goblet/Chalice",40.0,130.0,8.0,None
Loverboy Lemon Iced Tea,13.99,4.5,4.0,Hard Iced Tea,United States,Craft,4.2,35.0,Flavored,Unknown,Unknown,45.0,90.0,2.0,"Gluten-Free, Organic"
Lamplighter Rabbit Rabbit Double IPA,17.99,4.9,6.0,New England / Hazy IPA,United States,Craft,8.5,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Dry Dock Brewing Apricot Blonde,10.99,4.9,6.0,Golden / Blonde Ale,United States,Craft,5.1,17.0,"Stone Fruit, Fruity, Intense","Cheese - Fresh & Soft, Duck & Game Bird",Pint Glass,50.0,130.0,8.0,None
White Claw Hard Seltzer Surge Cranberry,2.59,4.3,9.0,Hard Seltzer,United States,Craft,8.0,35.0,"Crisp, Flavored, Fruity",Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,Gluten-Free
Schilling Excelsior Imperial Apple,14.99,4.8,11.0,Cider,United States,"Craft, Independent Craft Brewer",8.4,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Deep Ellum Brewing Co. Deep Ellum IPA,11.19,4.8,7.0,IPA,United States,Craft,7.0,70.0,"Hoppy, Citrus, Bitter","Cured Meats, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Smirnoff Ice Green Apple,10.99,4.7,22.0,Malt Liquor,United States,Craft,5.0,35.0,"Flavored, Sweet, Tart, Green Apple","Nuts, Chicken",Pint Glass,40.0,130.0,8.0,None
Modelo Chelada Sandia Picante Mexican Import Flavored Beer,3.99,3.3,2.0,Fruit Beer,Mexico,Craft,3.5,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Mike's Hard Mango Lemonade,10.89,4.7,14.0,Hard Lemonade,United States,Craft,5.0,35.0,"Flavored, Melon - Honeydew, Sweet, Tropical Fruit","Nuts, Fruit - Citrus",Pint Glass,45.0,130.0,8.0,None
