Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature (F),Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Hoot Hard Seltzer Tropical Variety Pack,18.99,4.1,4.0,Hard Seltzer,United States,"Independent Craft Brewer, Variety Pack",4.0,35.0,"Bright, Citrus, Coconut, Fruity, Guava, Passionfruit, Pineapple, Tropical, Tropical Fruit",Unknown,Snifter/Goblet/Chalice,45.0,90.0,1.0,Gluten-Free
Flying Dog Vicious Hook Fruit Punch Sour,12.09,4.1,1.0,Sour / Wild Ale,United States,Craft,5.3,5.0,Dark Fruit,Unknown,Unknown,49.0,130.0,8.0,None
Reissdorf Kolsch,4.49,5.0,2.0,Kölsch,Germany,Craft,4.8,21.0,"Dry, Fruity, Crisp, Light","Cured Meats, Nuts",Stange,45.0,130.0,8.0,None
Abita Turbodog,10.07,4.9,1.0,American Brown Ale,United States,"Craft, Independent Craft Brewer",5.6,28.0,"Sweet, Malty, Spicy, Caramel","Beef, Cheese - Blue, Cheese - Nutty & Semi-Firm, Pork","Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Against The Grain Citra Ass Down,12.99,4.9,3.0,Imperial / Double IPA,United States,Independent Craft Brewer,8.2,68.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Martin House Brewing The Salty Lady,11.82,5.0,1.0,Gose,United States,Craft,5.0,4.0,No special notesbeer_updated,Unknown,Stange,45.0,130.0,8.0,None
Stowe Tips Up Cider,13.99,5.0,1.0,Cider,United States,Craft,6.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Ayinger Celebrator Dopplebock,14.99,4.8,1.0,Doppelbock,Germany,Craft,6.7,24.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug",55.0,130.0,8.0,None
Tieton Bourbon Barrel Peach Cider,14.29,4.6,2.0,Cider,United States,Craft,6.9,35.0,"Bold, Peach, Smooth, Sweet, Tart, Woody",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten-Free
Prost Kölsch,10.99,4.8,2.0,Kölsch,United States,"Craft, Independent Craft Brewer",4.8,18.0,"Bright, Crisp, Light, Pear",Unknown,Stange,45.0,145.0,8.0,None
Smirnoff Seltzer 4 Ways to Rosé,17.99,4.6,1.0,Hard Seltzer,United States,Variety Pack,4.5,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,90.0,1.0,Gluten Reduced
Colorado Cider Grasshopper Ah,8.99,5.0,1.0,Cider,United States,Craft,6.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
2 Towns Prickly Pearadise,13.99,4.7,3.0,Cider,United States,Craft,5.3,35.0,"Crisp, Watermelon",Unknown,Unknown,49.0,140.0,8.0,Gluten Reduced
DuClaw Regular Beer lager,11.99,4.8,2.0,Pilsner,United States,"Craft, Independent Craft Brewer",4.9,13.0,Light,"Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Mushrooms, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Turkey",Pilsner Glass,45.0,130.0,8.0,None
The Black Abbey The Rose Blonde Ale,10.99,4.4,2.0,Golden / Blonde Ale,United States,Craft,5.4,15.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Two Robbers Peach Berry,14.0,4.0,1.0,Hard Seltzer,United States,"Craft, Independent Craft Brewer",5.2,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,110.0,8.0,Gluten-Free
Harpoon Season Pass Variety Pack,17.99,4.5,1.0,Variety Pack Beer,United States,"Craft, Variety Pack",5.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Blue Moon Craft Beer Variety Pack,17.59,4.4,8.0,Variety Pack Beer,United States,"Craft, Variety Pack",5.7,35.0,"Citrus, Honey, Light, Malty, Tropical","Chicken, Fish - Meaty & Oily, Fish - White, Salads & Greens","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Left Hand Milk Stout,11.99,4.6,8.0,Stout,United States,"Craft, Independent Craft Brewer",6.0,25.0,"Chocolate, Coffee, Creamy, Malty, Rich, Roasted, Sweet, Velvety","Nuts, Dessert - Vanilla & Caramel",Pint Glass,50.0,130.0,8.0,None
21st Amendment El Sully Lager,10.99,4.8,6.0,Lager,United States,Craft,4.8,19.0,"Grainy, Light","Chicken, Nuts",Pint Glass,40.0,130.0,8.0,None
Karl Strauss Aurora Hoppyalis IPA,12.89,5.0,2.0,IPA,United States,Craft,7.0,60.0,"Bright, Grapefruit, Hoppy, Melon, Pineapple, Tropical, Tropical Fruit","Cheese - Blue, Fruit - Citrus, Lamb","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
10 Barrel Brewing Co. Pub Beer,9.02,4.4,3.0,Lager,United States,Craft,5.0,18.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Busch Non-Alcoholic,12.49,5.0,3.0,Pale Lager,United States,Non-Alcoholic,0.5,12.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,Non-Alcoholic
New Belgium Old Aggie Superior Lager,15.99,5.0,2.0,Pale Lager,United States,Craft,4.7,18.0,"Balanced, Crisp, Light","Cured Meats, Nuts, Pasta, Salads & Greens, Shellfish",Pint Glass,45.0,141.0,11.0,Kosher
Aeronaut Double Citra Galaxy,18.99,4.7,1.0,Imperial / Double IPA,United States,Craft,8.0,50.0,"Balanced, Bright, Grapefruit, Smooth, Tropical Fruit",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Mike's Harder Green Apple,2.59,4.6,3.0,Malt Liquor,United States,Craft,8.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Offshoot Beer Co. Escape [it's your everyday West Coast IPA],15.99,4.6,2.0,IPA,United States,Craft,7.1,70.0,"Grapefruit, Pine, Tropical, Tropical Fruit","Beef, Chicken, Cured Meats",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Breckenridge Brewery Strawberry Sky,10.42,4.6,2.0,Kölsch,United States,Craft,4.8,23.0,No special notesbeer_updated,Unknown,Stange,45.0,130.0,8.0,None
Holidaily Big Henry Hazy IPA,12.29,4.8,1.0,New England / Hazy IPA,United States,Craft,6.3,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Station 26 Bang Bang Double IPA,14.44,4.9,4.0,Session IPA,United States,Craft,9.2,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Corona Hard Seltzer Pineapple Gluten Free Spiked Sparkling Water,2.31,4.2,2.0,Hard Seltzer,Mexico,Craft,4.5,35.0,"Pineapple, Tropical",Unknown,Snifter/Goblet/Chalice,45.0,90.0,0.0,None
Maine Beer Company Mean Old Tom Stout,7.99,4.5,3.0,Stout,United States,"Craft, Independent Craft Brewer, Seasonal",6.5,24.0,"Chocolate, Coffee, Fresh, Rich, Smooth, Toasty","Beef, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Vanilla & Caramel","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Great Divide Denver Pale Ale,10.99,4.9,2.0,American Pale Ale,United States,"Craft, Independent Craft Brewer",5.0,35.0,"Malty, Earthy, Pine, Bitter","Mushrooms, Root Vegetables",Pint Glass,50.0,130.0,8.0,None
Hitachino Nest White Ale,12.99,4.5,5.0,Witbier,Japan,Craft,5.5,13.0,"Dry, Earthy, Spicy, Yeasty","Fish - White, Fruit - Citrus",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Westmalle Dubbel,6.5,4.4,1.0,Dubbel,Belgium,Craft,7.0,29.0,"Malty, Dark Fruit, Caramel, Pruny","Pork, Cheese - Creamy & Bloomy",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Bale Breaker Field 41 Pale Ale,12.39,5.0,1.0,Pale Ale,United States,Craft,4.5,35.0,"Floral, Citrus, Pine, Crisp","Cured Meats, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Ziegenbock Texas Amber,10.99,4.9,2.0,Lager,United States,Craft,40.0,14.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Weihenstephaner Kristall Weissbier,4.49,4.8,1.0,Kristalweizen,Germany,Craft,5.4,14.0,"Banana, Balanced, Sweet, Creamy","Cheese - Creamy & Bloomy, Chicken",Weizen Glass,50.0,130.0,8.0,None
BON V!V Spiked Seltzer Variety Pack,17.99,4.6,54.0,Hard Seltzer,United States,Variety Pack,4.5,35.0,"Berry, Citrus, Flavored, Grapefruit",Unknown,Pint Glass,45.0,90.0,2.0,None
Half Acre Pony Pilsner,11.99,4.6,1.0,Pilsner,United States,Craft,5.8,15.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Original Sin Dry Rose Cider,12.99,4.6,3.0,Cider,United States,Craft,6.5,35.0,"Apple, Dry, Fresh, Light","Cheese - Hard Aged, Chicken, Cured Meats, Fruit - Sweet, Pork","Pint Glass, Snifter/Goblet/Chalice",50.0,155.0,9.0,Gluten Reduced
Eddyline Grapefruit Crank Yanker IPA,14.99,4.5,4.0,IPA,United States,Craft,7.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Four Loko Red,3.29,3.9,1.0,Malt Liquor,United States,Craft,14.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Pabst Blue Ribbon Extra,7.49,4.1,6.0,American-Style Lager,United States,Craft,6.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
3 Floyds Brewing Space Station Middle Finger,9.99,4.8,3.0,American Pale Ale,United States,Craft,6.5,58.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Cigar City Margarita Gose,11.15,4.5,1.0,Gose,United States,Craft,4.2,5.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Real Ale Vamonos Lime Gose,1.99,5.0,1.0,Gose,United States,Craft,4.4,5.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Goose Island Bourbon County Cola Stout 2021,26.8,5.0,1.0,Stout,United States,Craft,14.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Bravus Brewing Company Oatmeal Stout Non-Alcoholic,12.89,5.0,1.0,Non-Alcoholic Beer,United States,"Craft, Non-Alcoholic",0.4,8.0,"Caramel, Chocolate, Coffee",Cheese - Fresh & Soft,Unknown,49.0,99.0,22.0,Gluten Reduced
Flying Fish Hazy Bones,11.99,4.6,1.0,New England / Hazy IPA,United States,Independent Craft Brewer,6.0,30.0,"Grapefruit, Tropical, Tropical Fruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Seagram's Escapes Cherry Italian Ice,6.04,4.6,1.0,Malt Liquor,United States,Seasonal,3.2,35.0,"Cherry, Flavored, Fresh, Fruity, Light, Sweet","Dessert - Fruit, Fruit - Sweet",Pint Glass,40.0,130.0,8.0,None
Long Trail Double Bag,4.75,5.0,1.0,Altbier,United States,Craft,7.2,39.0,"Strong, Malty, Sweet, Caramel","Lamb, Dessert - Vanilla & Caramel",Stange,50.0,130.0,8.0,None
Great Lakes Dortmunder Gold Lager,10.99,4.5,3.0,Dortmunder / Export Lager,United States,Craft,5.8,30.0,"Crisp, Malty, Smooth","Chicken, Fish - Meaty & Oily, Fish - White, Salads & Greens","Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Schneider Weisse Original,4.99,5.0,1.0,Wheat Ale,Germany,Craft,5.4,14.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Living The Dream Brewing Powder Run,0.0,4.8,2.0,Cream Ale,United States,Craft,5.0,10.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Roadhouse - The Walrus Imperial IPA with Peaches & Tangerines,11.99,4.9,1.0,Imperial / Double IPA,United States,Craft,8.3,35.0,"Citrus, Fruity, Peach, Tropical","Dessert - Vanilla & Caramel, Shellfish","Pint Glass, Snifter/Goblet/Chalice",55.0,130.0,8.0,None
Bronx Brewery No Resolutions IPA,12.39,4.6,3.0,IPA,United States,Craft,7.6,50.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Key Brewing Dundalk Calling,13.99,4.8,4.0,Imperial / Double IPA,United States,Craft,8.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Fort Hill Brewery Jigsaw Jazz Double IPA,11.99,5.0,2.0,Imperial / Double IPA,United States,Craft,9.3,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Smirnoff Ice Spicy Tamarind,2.36,5.0,1.0,Malt Liquor,United States,Craft,4.5,35.0,"Citrus, Spicy, Sweet, Tart, Tropical",Unknown,Pint Glass,40.0,130.0,8.0,None
Russian River Happy Hops IPA,8.49,4.9,1.0,IPA,United States,Craft,6.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Colt 45 High Gravity,1.96,4.6,1.0,Malt Liquor,United States,Craft,8.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,180.0,8.0,None
"Twisted Tea Blueberry, Hard Iced Tea",4.49,4.7,1.0,Hard Iced Tea,United States,Craft,5.0,35.0,Blueberry,"Beef, Chicken, Pork",Mason Jar,45.0,130.0,8.0,None
"Founders Rubaeus, Raspberry Ale Beer",11.19,5.0,2.0,Seasonal Beer,United States,"Craft, Seasonal",5.7,15.0,"Berry, Fresh, Fruity, Light, Smooth, Sweet, Tart","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Chicken, Dessert - Chocolate & Coffee, Dessert - Fruit, Duck & Game Bird, Fish - White, Fruit - Citrus, Nuts, Pork, Salads & Greens, Shellfish, Tomatoes, Turkey","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,220.0,25.5,None
Erdinger Weissbier Non-Alcoholic,11.99,4.7,8.0,Berliner Weisse,Germany,"Craft, Non-Alcoholic",0.5,17.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,82.0,8.0,Non-Alcoholic
Loon Juice Honeycrisp,10.64,5.0,1.0,Cider,United States,Craft,6.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Silver City Tropic Haze IPA,9.99,4.7,4.0,New England / Hazy IPA,United States,Craft,6.4,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Finkle & Garf Oatmeal Milk Stout,10.99,4.7,2.0,Oatmeal Stout,United States,Craft,5.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Michelob Ultra Amber Max,6.83,4.9,5.0,Amber / Vienna Lager,United States,Craft,4.2,35.0,Rich,Unknown,Pilsner Glass,50.0,99.0,8.0,Gluten Reduced
"CACTI Pineapple, Lime & Strawberry Agave Spiked Seltzer Variety Pack",18.39,4.4,24.0,Hard Seltzer,United States,Variety Pack,0.5,35.0,Pineapple,Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,None
Ghostfish Grapefruit IPA,12.99,4.5,3.0,IPA,United States,"Craft, Independent Craft Brewer",5.5,85.0,"Hoppy, Citrus, Grapefruit, Fresh","Fish - White, Shellfish","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten-Free
Odd13 Codename: Superfan,11.99,4.9,6.0,IPA,United States,Craft,6.5,80.0,"Citrus, Pine, Hoppy, Biscuit","Salads & Greens, Fruit - Sweet","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Switchback Ale,11.36,4.7,3.0,Amber / Red Ale,United States,Craft,5.0,28.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
College Street Big Blue Van,10.99,4.6,6.0,American Pale Ale,United States,Craft,5.4,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Lamplighter So Much For Subtlety Double IPA,17.52,4.0,1.0,Imperial / Double IPA,United States,Craft,8.5,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Molson Golden,8.99,4.9,2.0,American-Style Lager,Canada,Craft,5.0,12.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Southern Tier 2XMAS,11.99,4.8,2.0,Spice / Herb / Vegetable Beer,United States,"Craft, Seasonal",8.0,40.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Grey Sail Flying Jenny Extra Pale Ale,11.49,4.9,1.0,Pale Ale,United States,Craft,5.3,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Evil Twin Even More Jesus,16.99,4.7,1.0,Imperial Stout,United States,Craft,11.5,75.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Ninkasi Prismatic Juicy IPA,13.49,4.8,1.0,New England / Hazy IPA,United States,Craft,5.9,36.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
SUNBOY Spiked Coconut Water - Passion Fruit,0.0,5.0,3.0,Hard Seltzer,United States,"Craft, Independent Craft Brewer",5.0,35.0,"Coconut, Fresh, Fruity, Passionfruit, Tropical Fruit",Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,Gluten-Free
Funky Buddha Premium Hard Seltzer Funklightened Variety Pack Spiked Sparkling Water,19.99,4.5,228.0,Hard Seltzer,United States,Variety Pack,4.5,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,100.0,3.0,None
TRULY Hard Seltzer Black Cherry,10.99,4.6,8.0,Hard Seltzer,United States,Craft,5.0,35.0,"Cherry, Crisp, Fruity","Cheese - Fresh & Soft, Chicken, Fruit - Citrus, Salads & Greens",Pint Glass,45.0,100.0,2.0,"Gluten Reduced, Gluten-Free, Kosher"
Anchor Variety Pack,18.99,4.7,1.0,Variety Pack Beer,United States,"Craft, Variety Pack",5.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Erdinger Dark Weissbeir Dunkel,3.99,4.7,2.0,Wheat Ale,Germany,Craft,5.3,14.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Destihl Wild Sour Series: Here Gose Nothin',10.99,4.3,3.0,Gose,United States,Craft,5.2,12.0,"Tart, Sour, Salty, Citrus","Fish - White, Salads & Greens",Stange,45.0,130.0,8.0,None
Best Of Belgium Variety Pack,17.98,4.1,1.0,Variety Pack Beer,Belgium,"Craft, Variety Pack",6.6,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
1911 Original Hard Cider,9.99,4.7,3.0,Cider,United States,Craft,5.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Shipyard Seasonal - Explorer Hazy White IPA,18.99,4.8,6.0,Seasonal Beer,United States,"Craft, Seasonal",5.9,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Flying Dog Gonzo Imperial Porter,16.29,4.3,1.0,Imperial Porter,United States,Craft,10.0,85.0,"Strong, Thick, Smoky, Caramel","Dessert - Fruit, Dessert - Vanilla & Caramel",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Genesee Brewing Company Cream Ale,17.99,4.7,2.0,Cream Ale,United States,Craft,5.1,9.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Industrial Arts Pocket Wrench Pale Ale,15.19,4.8,1.0,Pale Ale,United States,Craft,4.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Yards Brewing Variety Pack,21.99,5.0,2.0,Variety Pack Beer,United States,Variety Pack,4.5,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Vizzy Hard Seltzer Strawberry Orange Mimosa,3.49,5.0,1.0,Hard Seltzer,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,None
Workhorse West Coast IPA,13.99,4.7,1.0,IPA,United States,Craft,7.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
10 Barrel Guava Crush Sour Ale,13.99,5.0,1.0,Sour / Wild Ale,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Stormalong Blue Hills Orchard,12.59,5.0,1.0,Cider,United States,Craft,5.0,35.0,"Apple, Bright, Crisp, Fresh, Fruity",Unknown,Unknown,49.0,130.0,8.0,Gluten-Free
Dry Dock Brewing Seasonal,10.99,3.5,1.0,American Pale Ale,United States,Seasonal,5.1,12.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Mighty Swell Keep It Weird Spiked Seltzer Variety,17.84,5.0,2.0,Variety Pack Beer,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Avery Night Warden Stout,17.59,4.8,1.0,Stout,United States,Craft,8.2,50.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Telluride Brewing Face Down Brown Ale,10.99,4.9,3.0,Brown Ale,United States,"Craft, Independent Craft Brewer",5.7,37.0,"Balanced, Chocolate, Coffee, Dried Fruit, Light, Malty, Nutty, Rich, Roasted, Smooth, Toasty","Beef, Cheese - Nutty & Semi-Firm, Chicken, Dessert - Chocolate & Coffee, Duck & Game Bird, Nuts, Pork, Turkey","Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Bitburger Drive,11.49,4.4,2.0,Pilsner,Germany,"Craft, Non-Alcoholic",0.0,25.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,Non-Alcoholic
Fat Head's Bumble Berry Honey Blueberry Ale,11.99,4.9,1.0,Fruit Beer,United States,Craft,5.3,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Rogue Honey Kolsch,29.99,5.0,3.0,Kölsch,United States,Craft,5.0,26.0,No special notesbeer_updated,Unknown,Stange,45.0,160.0,13.0,None
Artifact Cider Feels Like Home,13.99,4.7,4.0,Cider,United States,Craft,5.4,35.0,"Cherry, Oak, Smooth",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,150.0,8.0,Gluten Reduced
Kane Brewing Sneakbox,13.99,5.0,2.0,American Pale Ale,United States,Craft,5.4,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Spiteful Brewing Working For The Weekend,11.99,4.4,1.0,Imperial / Double IPA,United States,Independent Craft Brewer,7.9,35.0,"Earthy, Fresh, Grapefruit, Hoppy, Tropical","Cheese - Stinky, Chicken, Lamb","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
(512) Pecan Porter,11.99,4.9,1.0,Porter,United States,"Craft, Independent Craft Brewer",6.2,30.0,"Chocolate, Coffee, Malty, Nutty, Smooth",Cheese - Blue,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Alaskan Mixed Variety,19.32,4.3,1.0,Variety Pack Beer,United States,Variety Pack,406768.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,49.0,130.0,8.0,None
Monday Night Slap Fight IPA,12.09,4.9,1.0,IPA,United States,Craft,5.8,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Calicraft Brewing Cool Kidz IPA,14.69,4.4,6.0,IPA,United States,"Craft, Independent Craft Brewer",7.2,45.0,"Citrus, Smooth, Tropical, Tropical Fruit",Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Unibroue Sommelier Selection,13.99,4.8,1.0,Variety Pack Beer,Canada,"Craft, Variety Pack",99.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Ninkasi Total Domination IPA,11.49,4.4,2.0,IPA,United States,Craft,6.7,81.0,"Hoppy, Bitter, Pine, Grapefruit","Cheese - Hard Aged, Salads & Greens","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Schlenkerla Marzen Smokebeer,5.79,4.8,1.0,Marzen / Oktoberfest,Germany,Craft,5.4,30.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Anderson Valley Boont Amber Ale,2.52,4.9,2.0,Amber / Red Ale,United States,"Craft, Independent Craft Brewer",5.8,16.0,"Biscuit, Caramel, Light","Beef, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Chicken, Duck & Game Bird, Lamb, Pasta, Root Vegetables",Pint Glass,50.0,130.0,8.0,None
DC Brau The Citizen,12.99,5.0,2.0,Belgian-Style Ale,DC,Craft,7.0,35.0,"Strong, Dry, Fruity, Stone Fruit","Cheese - Fresh & Soft, Lamb",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Incline The Explorer Hopped Cider,12.04,5.0,1.0,Cider,United States,Craft,6.5,35.0,"Apple, Balanced, Hoppy",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,135.0,12.0,Gluten Reduced
Great Divide Variety Pack,19.99,5.0,1.0,Variety Pack Beer,United States,"Craft, Variety Pack",406768.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Charm City Meadworks Variety,13.49,5.0,1.0,Variety Pack Beer,United States,Variety Pack,6.9,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
JuneShine Hard Kombucha Honey Ginger Lemon,15.99,4.4,1.0,Hard Kombucha,United States,"Craft, Independent Craft Brewer",6.0,35.0,"Bright, Citrus, Crisp, Flavored, Honey",Unknown,Unknown,49.0,130.0,8.0,"Gluten-Free, Kosher, Organic"
